strain	verdun	verdun__colour
AS1	AS1	#710000
AS6	AS6	#710000
AK5	AK5	#710000
AL7	AL7	#710000
AY8	AY8	#710000
AL5	AL5	#710000
AR4	AR4	#710000
BA3	BA3	#710000
AZ3	AZ3	#710000
AF6	AF6	#710000
BA5	BA5	#710000
AL1	AL1	#710000
AI9	AI9	#710000
AW2	AW2	#710000
AQ2	AQ2	#710000
AQ7	AQ7	#710000
AV5	AV5	#710000
AN8	AN8	#710000
AV9	AV9	#710000
BA9	BA9	#710000
AR2	AR2	#710000
AR7	AR7	#710000
AQ1	AQ1	#710000
AD2	AD2	#710000
AN6	AN6	#710000
AA9	AA9	#710000
AH8	AH8	#710000
AG6	AG6	#710000
AU8	AU8	#710000
AG5	AG5	#710000
AI3	AI3	#710000
AG8	AG8	#710000
AH3	AH3	#710000
AB9	AB9	#710000
AH7	AH7	#710000
AP1	AP1	#710000
AN2	AN2	#710000
AG1	AG1	#710000
AR9	AR9	#710000
AE6	AE6	#710000
AD6	AD6	#710000
AZ5	AZ5	#710000
AW8	AW8	#710000
AF7	AF7	#710000
AM6	AM6	#710000
AJ1	AJ1	#710000
AO2	AO2	#710000
BB2	BB2	#710000
AB4	AB4	#710000
AF2	AF2	#710000
AR6	AR6	#710000
AD3	AD3	#710000
AZ6	AZ6	#710000
AO7	AO7	#710000
AZ1	AZ1	#710000
AL6	AL6	#710000
AH2	AH2	#710000
AP4	AP4	#710000
AL4	AL4	#710000
AI2	AI2	#710000
AX6	AX6	#710000
BA6	BA6	#710000
BA7	BA7	#710000
AT3	AT3	#710000
AS9	AS9	#710000
AQ6	AQ6	#710000
AC4	AC4	#710000
AF4	AF4	#710000
AV4	AV4	#710000
AS5	AS5	#710000
AV8	AV8	#710000
AE2	AE2	#710000
AZ9	AZ9	#710000
BB6	BB6	#710000
BB3	BB3	#710000
AJ2	AJ2	#710000
AX9	AX9	#710000
AW4	AW4	#710000
BC4	BC4	#710000
AJ6	AJ6	#710000
AW1	AW1	#710000
AI1	AI1	#710000
AM7	AM7	#710000
AV7	AV7	#710000
AV6	AV6	#710000
AE3	AE3	#710000
AC3	AC3	#710000
AM8	AM8	#710000
AG3	AG3	#710000
AK3	AK3	#710000
AU1	AU1	#710000
AF3	AF3	#710000
AD5	AD5	#710000
AT6	AT6	#710000
AB3	AB3	#710000
AE4	AE4	#710000
AO6	AO6	#710000
AH4	AH4	#710000
AM1	AM1	#710000
AC7	AC7	#710000
AP2	AP2	#710000
AH6	AH6	#710000
AL3	AL3	#710000
AY1	AY1	#710000
AN9	AN9	#710000
AK8	AK8	#710000
AU2	AU2	#710000
AK4	AK4	#710000
BB1	BB1	#710000
AO9	AO9	#710000
AM3	AM3	#710000
AY9	AY9	#710000
BB9	BB9	#710000
BC8	BC8	#710000
AG4	AG4	#710000
AY7	AY7	#710000
BB4	BB4	#710000
BD5	BD5	#710000
AN7	AN7	#710000
AZ8	AZ8	#710000
AU7	AU7	#710000
AQ3	AQ3	#710000
AQ5	AQ5	#710000
AS7	AS7	#710000
AA2	AA2	#710000
AW7	AW7	#710000
BB7	BB7	#710000
AK1	AK1	#710000
AK6	AK6	#710000
AJ9	AJ9	#710000
AK9	AK9	#710000
AJ5	AJ5	#710000
AS4	AS4	#710000
BC7	BC7	#710000
AK7	AK7	#710000
AY3	AY3	#710000
AL2	AL2	#710000
AP6	AP6	#710000
AA1	AA1	#710000
AA3	AA3	#710000
AU6	AU6	#710000
AB7	AB7	#710000
AC6	AC6	#710000
AC1	AC1	#710000
AT9	AT9	#710000
AE7	AE7	#710000
AF8	AF8	#710000
AD7	AD7	#710000
AR3	AR3	#710000
AT4	AT4	#710000
AS8	AS8	#710000
AA4	AA4	#710000
AR5	AR5	#710000
AU3	AU3	#710000
AQ4	AQ4	#710000
AG2	AG2	#710000
BC6	BC6	#710000
AB2	AB2	#710000
AY6	AY6	#710000
AF1	AF1	#710000
AA8	AA8	#710000
AL9	AL9	#710000
AP8	AP8	#710000
AA6	AA6	#710000
AK2	AK2	#710000
AV1	AV1	#710000
AB1	AB1	#710000
AF9	AF9	#710000
AO3	AO3	#710000
BC3	BC3	#710000
AB6	AB6	#710000
AC9	AC9	#710000
AE9	AE9	#710000
AU9	AU9	#710000
AQ8	AQ8	#710000
AI5	AI5	#710000
AB5	AB5	#710000
AA7	AA7	#710000
AI8	AI8	#710000
AN5	AN5	#710000
BC2	BC2	#710000
BC1	BC1	#710000
AM2	AM2	#710000
AJ8	AJ8	#710000
AE8	AE8	#710000
AX1	AX1	#710000
AP3	AP3	#710000
AJ7	AJ7	#710000
AI6	AI6	#710000
AL8	AL8	#710000
BC5	BC5	#710000
AM4	AM4	#710000
AN4	AN4	#710000
AX3	AX3	#710000
AN3	AN3	#710000
