strain	verdun	verdun__colour
AS1	AS1	#f4e409
AS6	AS6	#f4e409
AK5	AK5	#f4e409
AL7	AL7	#f4e409
AY8	AY8	#f4e409
AL5	AL5	#f4e409
AR4	AR4	#f4e409
BA3	BA3	#f4e409
AZ3	AZ3	#f4e409
AF6	AF6	#f4e409
BA5	BA5	#f4e409
AL1	AL1	#f4e409
AI9	AI9	#f4e409
AW2	AW2	#f4e409
AQ2	AQ2	#f4e409
AQ7	AQ7	#f4e409
AV5	AV5	#f4e409
AN8	AN8	#f4e409
AV9	AV9	#f4e409
BA9	BA9	#f4e409
AR2	AR2	#f4e409
AR7	AR7	#f4e409
AQ1	AQ1	#f4e409
AD2	AD2	#f4e409
AN6	AN6	#f4e409
AA9	AA9	#f4e409
AH8	AH8	#f4e409
AG6	AG6	#f4e409
AU8	AU8	#f4e409
AG5	AG5	#f4e409
AI3	AI3	#f4e409
AG8	AG8	#f4e409
AH3	AH3	#f4e409
AB9	AB9	#f4e409
AH7	AH7	#f4e409
AP1	AP1	#f4e409
AN2	AN2	#f4e409
AG1	AG1	#f4e409
AR9	AR9	#f4e409
AE6	AE6	#f4e409
AD6	AD6	#f4e409
AZ5	AZ5	#f4e409
AW8	AW8	#f4e409
AF7	AF7	#f4e409
AM6	AM6	#f4e409
AJ1	AJ1	#f4e409
AO2	AO2	#f4e409
BB2	BB2	#f4e409
AB4	AB4	#f4e409
AF2	AF2	#f4e409
AR6	AR6	#f4e409
AD3	AD3	#f4e409
AZ6	AZ6	#f4e409
AO7	AO7	#f4e409
AZ1	AZ1	#f4e409
AL6	AL6	#f4e409
AH2	AH2	#f4e409
AP4	AP4	#f4e409
AL4	AL4	#f4e409
AI2	AI2	#f4e409
AX6	AX6	#f4e409
BA6	BA6	#f4e409
BA7	BA7	#f4e409
AT3	AT3	#f4e409
AS9	AS9	#f4e409
AQ6	AQ6	#f4e409
AC4	AC4	#f4e409
AF4	AF4	#f4e409
AV4	AV4	#f4e409
AS5	AS5	#f4e409
AV8	AV8	#f4e409
AE2	AE2	#f4e409
AZ9	AZ9	#f4e409
BB6	BB6	#f4e409
BB3	BB3	#f4e409
AJ2	AJ2	#f4e409
AX9	AX9	#f4e409
AW4	AW4	#f4e409
BC4	BC4	#f4e409
AJ6	AJ6	#f4e409
AW1	AW1	#f4e409
AI1	AI1	#f4e409
AM7	AM7	#f4e409
AV7	AV7	#f4e409
AV6	AV6	#f4e409
AE3	AE3	#f4e409
AC3	AC3	#f4e409
AM8	AM8	#f4e409
AG3	AG3	#f4e409
AK3	AK3	#f4e409
AU1	AU1	#f4e409
AF3	AF3	#f4e409
AD5	AD5	#f4e409
AT6	AT6	#f4e409
AB3	AB3	#f4e409
AE4	AE4	#f4e409
AO6	AO6	#f4e409
AH4	AH4	#f4e409
AM1	AM1	#f4e409
AC7	AC7	#f4e409
AP2	AP2	#f4e409
AH6	AH6	#f4e409
AL3	AL3	#f4e409
AY1	AY1	#f4e409
AN9	AN9	#f4e409
AK8	AK8	#f4e409
AU2	AU2	#f4e409
AK4	AK4	#f4e409
BB1	BB1	#f4e409
AO9	AO9	#f4e409
AM3	AM3	#f4e409
AY9	AY9	#f4e409
BB9	BB9	#f4e409
BC8	BC8	#f4e409
AG4	AG4	#f4e409
AY7	AY7	#f4e409
BB4	BB4	#f4e409
BD5	BD5	#f4e409
AN7	AN7	#f4e409
AZ8	AZ8	#f4e409
AU7	AU7	#f4e409
AQ3	AQ3	#f4e409
AQ5	AQ5	#f4e409
AS7	AS7	#f4e409
AA2	AA2	#f4e409
AW7	AW7	#f4e409
BB7	BB7	#f4e409
AK1	AK1	#f4e409
AK6	AK6	#f4e409
AJ9	AJ9	#f4e409
AK9	AK9	#f4e409
AJ5	AJ5	#f4e409
AS4	AS4	#f4e409
BC7	BC7	#f4e409
AK7	AK7	#f4e409
AY3	AY3	#f4e409
AL2	AL2	#f4e409
AP6	AP6	#f4e409
AA1	AA1	#f4e409
AA3	AA3	#f4e409
AU6	AU6	#f4e409
AB7	AB7	#f4e409
AC6	AC6	#f4e409
AC1	AC1	#f4e409
AT9	AT9	#f4e409
AE7	AE7	#f4e409
AF8	AF8	#f4e409
AD7	AD7	#f4e409
AR3	AR3	#f4e409
AT4	AT4	#f4e409
AS8	AS8	#f4e409
AA4	AA4	#f4e409
AR5	AR5	#f4e409
AU3	AU3	#f4e409
AQ4	AQ4	#f4e409
AG2	AG2	#f4e409
BC6	BC6	#f4e409
AB2	AB2	#f4e409
AY6	AY6	#f4e409
AF1	AF1	#f4e409
AA8	AA8	#f4e409
AL9	AL9	#f4e409
AP8	AP8	#f4e409
AA6	AA6	#f4e409
AK2	AK2	#f4e409
AV1	AV1	#f4e409
AB1	AB1	#f4e409
AF9	AF9	#f4e409
AO3	AO3	#f4e409
BC3	BC3	#f4e409
AB6	AB6	#f4e409
AC9	AC9	#f4e409
AE9	AE9	#f4e409
AU9	AU9	#f4e409
AQ8	AQ8	#f4e409
AI5	AI5	#f4e409
AB5	AB5	#f4e409
AA7	AA7	#f4e409
AI8	AI8	#f4e409
AN5	AN5	#f4e409
BC2	BC2	#f4e409
BC1	BC1	#f4e409
AM2	AM2	#f4e409
AJ8	AJ8	#f4e409
AE8	AE8	#f4e409
AX1	AX1	#f4e409
AP3	AP3	#f4e409
AJ7	AJ7	#f4e409
AI6	AI6	#f4e409
AL8	AL8	#f4e409
BC5	BC5	#f4e409
AM4	AM4	#f4e409
AN4	AN4	#f4e409
AX3	AX3	#f4e409
AN3	AN3	#f4e409
